# Messreihen
# Nr,Temp_C,Speed_mm_s,Dauer_s
# 1,200.0,1.16,380.0
#
sample_seq,millis_ms,kraft_N,temperatur,motor_geschwindigkeit,error_flags,sd_write_us,loop_duration_us
508,491116,2.155,200.05,1.16,0,0,3
509,491166,2.172,200.05,1.16,0,0,3
510,491216,2.152,200.02,1.16,0,0,3
511,491266,2.103,200.02,1.16,0,0,3
512,491316,2.078,200.02,1.16,0,0,3
513,491366,2.139,200.05,1.16,0,0,3
514,491416,2.276,200.05,1.16,0,0,3
515,491466,2.254,200.05,1.16,0,0,7
516,491516,2.097,200.05,1.16,0,0,17
517,491566,2.091,200.05,1.16,0,0,3
518,491616,2.126,200.05,1.16,0,0,3
519,491666,2.035,200.13,1.16,0,0,3
520,491716,1.953,200.13,1.16,0,0,3
521,491766,2.029,200.13,1.16,0,0,3
522,491816,2.111,200.13,1.16,0,0,3
523,491866,2.174,200.09,1.16,0,0,7
524,491916,2.148,200.09,1.16,0,0,3
525,491966,2.149,200.09,1.16,0,0,3
526,492016,2.134,200.02,1.16,0,0,11
527,492066,2.108,200.02,1.16,0,0,11
528,492116,2.200,200.02,1.16,0,0,3
529,492166,2.262,199.98,1.16,0,0,5
530,492216,2.201,199.98,1.16,0,0,7
531,492266,2.226,199.98,1.16,0,0,11
532,492316,2.256,199.94,1.16,0,0,7
533,492366,2.160,199.94,1.16,0,0,7
534,492416,2.132,199.94,1.16,0,0,7
535,492466,2.121,199.94,1.16,0,0,6
536,492516,2.199,200.05,1.16,0,0,19
537,492566,2.292,200.05,1.16,0,0,11
538,492616,2.249,200.05,1.16,0,0,7
539,492666,2.208,200.02,1.16,0,0,7
540,492716,2.167,200.02,1.16,0,0,13
541,492766,2.173,200.02,1.16,0,0,11
542,492816,2.148,200.02,1.16,0,0,3
543,492866,2.075,200.02,1.16,0,0,9
544,492917,2.109,200.02,1.16,0,0,16
545,492966,2.175,200.02,1.16,0,0,3
546,493016,2.107,200.05,1.16,0,0,3
547,493066,2.078,200.05,1.16,0,0,9
548,493116,2.079,200.05,1.16,0,0,3
549,493166,2.092,200.13,1.16,0,0,3
550,493216,2.166,200.13,1.16,0,0,2
551,493266,2.146,200.13,1.16,0,0,9
552,493316,2.200,200.09,1.16,0,0,3
553,493366,2.219,200.09,1.16,0,0,3
554,493416,2.220,200.09,1.16,0,0,3
555,493466,2.323,200.02,1.16,0,0,17
556,493516,2.219,200.02,1.16,0,0,25
557,493566,2.135,200.02,1.16,0,0,3
558,493616,2.174,200.02,1.16,0,0,7
559,493666,2.204,200.05,1.16,0,0,9
560,493716,2.189,200.05,1.16,0,0,3
561,493766,2.182,200.05,1.16,0,0,7
562,493816,2.194,200.05,1.16,0,0,3
563,493866,2.265,200.05,1.16,0,0,13
564,493916,2.196,200.05,1.16,0,0,11
565,493966,2.157,199.98,1.16,0,0,3
566,494016,2.106,199.98,1.16,0,0,7
567,494066,2.032,199.98,1.16,0,0,9
568,494116,2.077,200.02,1.16,0,0,2
569,494166,2.171,200.02,1.16,0,0,13
570,494216,2.132,200.02,1.16,0,0,3
571,494266,2.077,200.02,1.16,0,0,11
572,494316,2.031,200.05,1.16,0,0,2
573,494366,2.024,200.05,1.16,0,0,12
574,494416,2.076,200.05,1.16,0,0,6
575,494466,2.087,200.13,1.16,0,0,19
576,494516,2.198,200.13,1.16,0,0,19
577,494566,2.292,200.13,1.16,0,0,7
578,494616,2.241,200.05,1.16,0,0,2
579,494666,2.188,200.05,1.16,0,0,6
580,494716,2.123,200.05,1.16,0,0,2
581,494766,2.201,200.02,1.16,0,0,3
582,494816,2.186,200.02,1.16,0,0,3
583,494866,2.181,200.02,1.16,0,0,3
584,494916,2.225,200.02,1.16,0,0,3
